Week,Date,Topic,AppEx,Due
Week 1,8/25/15,"Introduction <a href=""post/slides/deck1.html"">[slides]</a> <a href=""post/slides/deck1H.html"">[handout]</a>",<a href='post/app_ex/app_Twitter_election_results.html'>Can Twitter predict election results?</a>,
,8/27/15,Introduction to R/Rstudio and git/GitHub <a href='post/slides/deck2.html'>[slides]</a> <a href='post/slides/deck2H.html'>[handout]</a>,,HW 0 + Survey + Pretest
Week 2,9/1/15,R / Rstudio / GitHub demo <a href='post/slides/deck3.html'>[slides]</a> <a href='post/slides/deck3H.html'>[handout]</a>,,Read Tidy Data paper + Case studies
,9/3/15,Tidy data & Intro to data visualization <a href='post/slides/deck4.html'>[slides]</a> <a href='post/slides/deck4H.html'>[handout]</a>,,
Week 3,9/8/15,Hands on data visualization: Work on HW1,,<a href='post/hw/HW1.html'>HW 1</a>
,9/10/15,Data wrangling <a href='post/slides/deck5.html'>[slides]</a> <a href='post/slides/deck5H.html'>[handout]</a>,,
Week 4,9/15/15,Data types + Data expeditions: Paris Paintings <a href='post/slides/deck6.html'>[slides]</a> <a href='post/slides/deck6H.html'>[handout]</a> ,<a href='post/app_ex/app_Explore_PP.html'>Explore Paris Paintings</a>,
,9/17/15,The langauge of models + Data expeditions: Paris Paintings <a href='post/slides/deck7.html'>[slides]</a> <a href='post/slides/deck7H.html'>[handout]</a>,<a href='post/app_ex/app_Simple_model_PP.html'>Modeling prices of Paris Paintings - a simple approach (first)</a>,
Week 5,9/22/15,Transforming data + Data expeditions: Paris Paintings <a href='post/slides/deck8.html'>[slides]</a> <a href='post/slides/deck8H.html'>[handout]</a>,<a href='post/app_ex/app_Log_model_PP.html'>Modeling log transformed prices of Paris Paintings</a>,
,9/24/15,Interactions and model selection + Data expeditions: Paris Paintings <a href='post/slides/deck9.html'>[slides]</a> <a href='post/slides/deck9H.html'>[handout]</a>,<a href='post/app_ex/app_Model_select_PP.html'>Selecting models for Paris Paintings</a>,
Week 6,9/29/15,Modeling recap + Wrap up of Paris Paintings Data Expedition <a href='post/slides/deck10.html'>[slides]</a> <a href='post/slides/deck10H.html'>[handout]</a>,,
,10/1/15,Prediction and model validation <a href='post/slides/deck11.html'>[slides]</a> <a href='post/slides/deck11H.html'>[handout]</a>,,
Week 7,10/6/15,Work on MT project,,
,10/8/15,MT Project Presentations,,"<a href=""post/projects/mt-project.html"">MT Project</a>"
Week 8,10/13/15,Fall break - no class,,
,10/15/15,Hypothesis testing via simulation <a href='post/slides/deck12.html'>[slides]</a> <a href='post/slides/deck12H.html'>[handout]</a>,<a href='post/app_ex/app_Sim_inf_one_p.html'>Inference for a proportion</a>,
,10/16/15,,,<a href='post/hw/HW2.html'>HW 2</a> (due by 5pm)
Week 9,10/20/15,Functions + More on hypothesis testing <a href='post/slides/deck13.html'>[slides]</a> <a href='post/slides/deck13H.html'>[handout]</a>,<a href='post/app_ex/app_Functions_inference.html'>Functionalized inference</a>,
,10/22/15,More on functions  + Bootstrapping  <a href='post/slides/deck14.html'>[slides]</a> <a href='post/slides/deck14H.html'>[handout]</a>,,
Week 10,10/27/15,Wrap up one var inf + Testing for independence <a href='post/slides/deck15.html'>[slides]</a> <a href='post/slides/deck15H.html'>[handout]</a>,<a href='post/app_ex/app_Yawning_contagious.html'>Is yawning contagious?</a>,
,10/29/15,Work on randomization app ex,,
Week 11,11/3/15,"CLT + CLT based inference, Pt 1 <a href='post/slides/deck16.html'>[slides]</a> <a href='post/slides/deck16H.html'>[handout]</a>",<a href='post/app_ex/app_CLT_simulate.html'>Exploring the CLT via simulation</a>,
,11/5/15,"CLT based inference, Pt 2 <a href='post/slides/deck17.html'>[slides]</a> <a href='post/slides/deck17H.html'>[handout]</a>",,
Week 12,11/10/15,"CLT based inference, Pt 3 <a href='post/slides/deck18.html'>[slides]</a> <a href='post/slides/deck18H.html'>[handout]</a>",,
,11/12/15,"Interactive visualizations with Shiny, Pt. 1 <a href='post/slides/deck19.html'>[slides]</a> <a href='post/slides/deck19H.html'>[handout]</a>","<a href=""post/app_ex/app_Shine_like_diamond.html"">Shine bright like a diamond</a>",<a href='post/hw/HW3.html'>HW 3</a> (due by class)
Week 13,11/17/15,"Interactive visualizations with Shiny, Pt. 2 <a href='post/slides/deck20.html'>[slides]</a> <a href='post/slides/deck20H.html'>[handout]</a>",,
,,"Guest speaker: <a href=""http://people.duke.edu/~abb30/"">Aaron Berdanier</a>",,
,11/19/15,Scraping data off the web <a href='post/slides/deck21.html'>[slides]</a> <a href='post/slides/deck21H.html'>[handout]</a>,,
,11/20/15,,,"<a href=""post/projects/final-project.html"">Final project proposal</a> by 5pm"
Week 14,11/24/15,Bayesian inference,,<a href='post/hw/HW4.html'>HW 4</a>
,11/26/15,Thanksgiving break - no class,,
Week 15,12/1/15,Bayesian inference,,
,12/3/15,"<a href=""post/projects/final-project.html"">Final project presentations</a>",,
Finals,12/8/15,Final exam due at 10pm,,
